"CODE","AET_ID","NUMMER","CODE_1","BEGINJAAR","EINDJAAR","DATERING","BESCHRIJVING","NOTABENE"
"220",5,68,"",,,"","Hercules <ZR>Hermes (zie ook Ganymedes)",""
"64",5,343,"",1865,1865,"1865","'Mythologie', stukken betreffende de aanbieding door Sloet te Buitenzorg, lid KNAW, van tekeningen van planten voorkomend in de Indische kosmogonie, mythologie en poëzie en een daarbijbehorende beschrijving en betreffende de eventuele uitgave door de KNAW van dat werk",""
"137",5,206,"",,,"","Meinard Cornelis Merens (Sanderson) (Hoorn 1809-Monnickendam 1888), gehuwd met Trijntje Muller (Broek-in-Waterland 1817-Monnickendam 1879)
<ZR>Huwelijksannonce; woonhuizen Merens en Burck in Monnickendam; kennisgevingen van overlijden van T. Merens-Muller en M.C. Merens; familieadvertenties. Inscripties grafsteen te Monnickendam zie nr 120-c","Uit dit huwelijk zijn drie kinderen geboren: Christiana Maria (Broek-in-Waterland 1836), Petronella Jacoba (Monnickendam 1840) en Annetje (1840). Voor familie Muller zie inventarisnummer 268."
"137",5,328,"a",,,"","Eigenhandig geschreven verklaring van Allard Merens (Gallis) van 1840, waarin hij bepaalt dat na zijn overlijden het ""geslagtboek"" en de familieportretten moeten overgaan aan zijn dochter Cornelia. Fotokopieën van deze verklaring zie nr 237 B",""
"1317",5,53,"",,,"","1896. ds. J. Schotel <ZR>1904. ds. J. v.d. Vegt <ZR>1908. ds. M. de Boer <ZR>1908. ds. A. v.d. Heijden <ZR>1909. ds. P. de Groot, zie ook 1927 <ZR>1909. ds. H. Visser, zie ook 1925 <ZR>1910. ds. J.W. Geels, zie ook 1911 <ZR>1910. kand. A.M. Berkhoff, zie ook 1926 <ZR>1911. ds. J.W. Geels, zie ook 1910 <ZR>1921. ds. H. Biesma, zie ook 1924. <ZR>1921. kand. W. Bijleveld <ZR>1924. H. Biesma, zie ook 1921 <ZR>1924. kand. K.G. v. Smeden <ZR>1925. ds. L.H. v.d. Meiden <ZR>1925. ds. H. Visser, zie ook 1909 <ZR>1925. ds. A.H. Hilbers <ZR>1925. ds. W. Vos <ZR>1926. ds. J. Jongeleen",""
"3651",5,102,"",,,"","21.31 Machinefabriek L. Dost NV (zie ook dossier 21.3 / 21.365)",""
"3651",5,477,"",,,"","21.410 Stamp of Sound (zie ook dossier 21.411)",""
"3651",5,512,"",,,"","21.446 Kamsteeg's Automobielbedrijf NV (zie ook dossier 403.8/3)",""
"3651",5,528,"",,,"","21.463 Nederlandse Vouwwandenfabriek (zie ook 21.166)",""
"3651",5,650,"",,,"","21.586 Bescherming bevolking (zie ook dossier 403.7, Holland Nautie)",""
"3651",5,655,"",,,"","21.591 Groot autorijschool (zie ook dossier 21.590)",""
"3651",5,676,"",,,"","21.612 J.P.H. Geerlings (zie ook 21.621)",""
"3651",5,759,"",,,"","414 Industrieterreinen energie-, gas- en waterleidingen (zie ook dossier 422)",""
"3651",5,763,"",,,"","49 Gegevens omtrent industrieterreinen, havens en waterwegen buiten Haarlem (zie ook dossier 52 of 81)",""
"3651",5,802,"",,,"","410.10 Terreinen in het zuidelijke gebied ten oosten van de weg nr. 8 (zie ook dossier 410.0/58)",""
"1380",5,76,"",1979,1990,"1979-1990","Financiële jaarplanningen i.v.m. te houden tentoonstellingen, zie voor specifieke begrotingen en afrekeningen: taakuitvoering - tentoonstellingen","zie voor algemene begroting en jaarrekening archief afdeling 4 voormalige secretarie (financiën)"
"494",5,,"--",,,"","Jaarverslagen 1942-1967; zie de jaarverslagen van het Provinciaal Ziekenhuis Santpoort",""
"2372",5,315,"",1974,1991,"","Verkoop van gronden in de kern Vogelenzang, 1975-1988 <ZR>Teylingerweg 69-73 aan J.J. van Ruiten, K. van der Veen en H.J. Sips, 1974-1976 <ZR>Teylingerweg 67 aan W.Q.M. van Lierop, 1975-1976 <ZR>Deken Zondaglaan aan het Hoogheemraadschap van Rijnland te Leiden ten behoeve van de bouw van een rioolgemaal, 1981-1983 <ZR>Grond nabij de Graaf Florisschool aan de Vogelenzangseweg aan H. Kuijs, 1984-1985 <ZR>N.B. zie voor de voorgeschiedenis het objectdossier van de Graaf Florisschool <ZR>Grond met opstallen Graaf Florisschool aan de Vogelenzangseweg aan P.M. Koning en mw. R. Hesmerg, 1985-1986 <ZR>N.B. zie voor de voorgeschiedenis het objectdossier van de Graaf Florisschool <ZR>Graaf Dirklaan 4 aan J.W. Roem en G.P.W. Burgering, 1986-1991",""
"5009",5,,"",,,"","Hofmanweg, zie 'A. Hofmanweg'",""
"1132",5,44,"",,,"z.j.","Calck(brander) (niet aangetroffen)<ZR> Kerstantsz: zie Oly<ZR> Kies<ZR> Clerq: zie Swan",""
"1547",5,29,"",1959,1969,"","Gemeentelijk Waterbedrijf, jaarrekeningen 1959-1969 met bijlagemappen (zie hiervoor ook doosnr. 30)",""
"1547",5,45,"",1964,1970,"","Openbare Werken, jaarrekeningen 1964-1970, met bijlagemap (zie hiervoor ook doosnr. 46)",""
"1547",5,67,"",1958,1977,"","Dienst voor de Volkshuisvesting, begrotingen 1959-1977, suppletoire begrotingen 1958-1975, jaarrekeningen 1959-1960 (zie doosnr. 68 voor de bijlagemap)",""
"492",5,47,"",,,"z.j.","Brief van prof. dr. F. van der Blij aan prof. dr. H. Bos, waarin hij een aantal publicaties en geschriften (zie de inventarisnummers 44-46) aanbiedt aan de bibliotheek van het Mathematisch Instituut van de UU. Handgeschreven",""
"3388",5,1507,"",1978,1978,"1978 december 28","De heer Jasper Kloosterhuis, de heer Hendrikus Everhardus Kloosterhuis, mevr. Maria Leutscher en mevr. Elisabeth Sieben, allen te IJmuiden. De panden Koningin Wilhelminakade 26 en 27 te IJmuiden, ingericht als garage en bovenwoningen, met erf en grond, kadastraal bekend gemeente IJmuiden sectie I, nrs. 1705 groot 1 are 35 centiare en 1746 groot 1 are 35 centiare. Voor financiële regeling zie akten d.d. 8 november 1956 en 26 april 1966, welke zijn bijgevoegd ",""
"1154",5,724,"",1921,1921,"1921","Fotokopie van de brief van Hendrik Marsman aan Jacob van Looy ; zie nr.723",""
"1154",5,1016,"",1930,1930,"1930","Een brief van Lizzie de Wijs aan Titia van Looy - van Gelder","oud nummer KB 1254 ; oud scannummer SJL001001234_001 t/m SJL001001234_003"
"198",4,,"--",1893,1899,"","1893, febr. 7-1899, febr. 23, zie inv.nr.2022A",""
"178",4,2167,"",,,"","Ria-Schouten; voor Rijnders, zie Reinders",""
